nohup: ignoring input
Epoch~185->train_loss:1.0616, val_loss:1.0897, val_accu:0.3333, lr:0.10489475727081299, conflict:36/185=0.1946
Epoch~186->train_loss:1.0606, val_loss:1.0888, val_accu:0.3333, lr:0.10498418658971786, conflict:36/186=0.1935
Epoch~187->train_loss:1.0597, val_loss:1.0879, val_accu:0.3667, lr:0.10507701337337494, conflict:36/187=0.1925
Epoch~188->train_loss:1.0587, val_loss:1.0869, val_accu:0.4333, lr:0.10517339408397675, conflict:37/188=0.1968
Epoch~189->train_loss:1.0576, val_loss:1.0859, val_accu:0.4667, lr:0.1052735298871994, conflict:37/189=0.1958
Epoch~190->train_loss:1.0566, val_loss:1.0848, val_accu:0.5, lr:0.10537761449813843, conflict:37/190=0.1947
Epoch~191->train_loss:1.0554, val_loss:1.0837, val_accu:0.5, lr:0.10548587143421173, conflict:37/191=0.1937
Epoch~192->train_loss:1.0543, val_loss:1.0825, val_accu:0.5, lr:0.10559852421283722, conflict:37/192=0.1927
Epoch~193->train_loss:1.053, val_loss:1.0813, val_accu:0.5333, lr:0.10571576654911041, conflict:37/193=0.1917
Epoch~194->train_loss:1.0518, val_loss:1.0801, val_accu:0.5333, lr:0.10583784431219101, conflict:37/194=0.1907
Epoch~195->train_loss:1.0504, val_loss:1.0788, val_accu:0.5667, lr:0.10596506297588348, conflict:37/195=0.1897
Epoch~196->train_loss:1.049, val_loss:1.0773, val_accu:0.5667, lr:0.1060977652668953, conflict:37/196=0.1888
Epoch~197->train_loss:1.0475, val_loss:1.0749, val_accu:0.5667, lr:0.10625119507312775, conflict:37/197=0.1878
Epoch~198->train_loss:1.0454, val_loss:1.0744, val_accu:0.5667, lr:0.106391042470932, conflict:37/198=0.1869
Epoch~199->train_loss:1.0438, val_loss:1.0728, val_accu:0.5667, lr:0.10654625296592712, conflict:37/199=0.1859
Epoch~200->train_loss:1.0421, val_loss:1.0709, val_accu:0.5667, lr:0.10670766979455948, conflict:37/200=0.185
Epoch~201->train_loss:1.0403, val_loss:1.0691, val_accu:0.5667, lr:0.10687639564275742, conflict:37/201=0.1841
Epoch~202->train_loss:1.0384, val_loss:1.067, val_accu:0.5667, lr:0.10705289989709854, conflict:37/202=0.1832
Epoch~203->train_loss:1.0365, val_loss:1.0651, val_accu:0.5667, lr:0.10723769664764404, conflict:37/203=0.1823
Epoch~204->train_loss:1.0344, val_loss:1.063, val_accu:0.5667, lr:0.1074313297867775, conflict:37/204=0.1814
Epoch~205->train_loss:1.0323, val_loss:1.0608, val_accu:0.5667, lr:0.10763433575630188, conflict:37/205=0.1805
Epoch~206->train_loss:1.03, val_loss:1.0585, val_accu:0.5667, lr:0.10784731060266495, conflict:37/206=0.1796
Epoch~207->train_loss:1.0276, val_loss:1.0561, val_accu:0.5667, lr:0.10807091742753983, conflict:37/207=0.1787
